14,Feb09,Peru,Cannete,Cannete,-11.9579,-77.046,2,1,71,0,47,1,5,2,0,4469,29164833,48500,23,0,73,67,20,13,106,2,7,1,1,1,1,1,1,1,1,1,3,3,3,3,3,2,1,4,1,2,1,1,2,2,2,2,6,6,1,2,2,2,1,2,1,2,1,2,2,8/year,4,2,2,2,4,1,2,20,1,3,1,1,2,1,6,1,1,1,1,3,3,4,1,3,2,1,1,3,3,4,1,2,4,1,1,2,3,3,1,1,3,3,3,3,3,2,1,3,1,1,1,2,1,2,2,3,1,1,1,1,2,2,2,2,1,2,3,1,4,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,1,3,2,2,3,3,1,3,3,1,2,10,9,15,10,
15,Mar10,Peru,Cannete,Cannete,-11.9579,-77.046,2,1,71,0,47,1,5,2,0,4469,29164833,48500,23,3,73,67,20,13,106,2,7,1,1,1,1,1,1,1,1,2,4,4,4,4,4,2,1,4,1,2,1,1,2,2,2,2,6,6,1,2,2,2,1,2,1,2,1,2,2,8/year,4,2,2,2,4,1,2,20,1,3,1,1,2,1,6,1,1,1,1,3,3,4,1,3,2,1,1,3,3,4,1,2,4,1,1,2,3,3,1,1,3,3,3,3,3,2,1,3,1,1,1,2,1,2,2,3,1,1,1,1,2,2,2,2,1,2,3,1,4,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,3,1,3,2,2,3,3,1,3,3,1,2,10,9,20,10,
16,1985,Costa Rica,Cartago,Cartago,9.754,-83.6774,1,3,71,0,70,1,4,2,7,1775,2698604,98000,52,8,75,69,9,11,115,5,0,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,3,1,2,1,2,2,2,6,3,0,5,2,2,1,1,1,2,2,2,2,9999,3,2,3,2,6,1,1,8,1,1,1,1,3,2,6,1,1,2,2,2,1,1,2,3,2,1,2,1,1,4,1,2,3,2,2,3,2,2,2,1,2,3,2,2,2,1,4,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,2,1,1,3,2,3,1,2,2,1,2,8,3,8,8,
17,1995,Costa Rica,Cartago,Cartago,9.754,-83.6774,1,3,63,0,80,1,4,2,7,3370,3478643,102570,67,8,77,69,9,9,108,5,0,1,1,1,1,1,2,1,1,2,2,1,4,4,4,1,1,2,1,2,1,2,1,2,2,2,6,3,0,5,2,2,1,1,1,2,2,2,2,9999,4,2,3,2,6,1,1,8,2,1,1,1,3,2,6,1,1,2,2,2,2,2,2,3,2,1,2,1,2,4,1,2,3,2,2,3,2,3,2,1,2,3,2,2,2,1,4,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,3,2,2,3,2,2,2,2,2,2,2,3,2,2,3,3,2,1,1,3,2,3,1,2,2,1,2,8,4,14,8,
18,Jan10,Tanzania,Dar es Salam,Dar es Sala,-6.8229,39.2697,1,4,25,0,50,0,1,1,3,509,43739051,4000000,44,2,56,45,69,33,458,6,8,1,1,1,2,1,1,1,1,1,2,3,3,5,2,1,1,3,1,3,1,1,1,2,2,1,7,7,0,2,2,1,2,1,2,2,2,2,2,0.53 HH 5.3com,3,1,5,1,2,1,1,30,1,1,1,2,2,1,2,1,5,2,2,2,1,1,2,1,2,5,1,3,3,5,2,2,4,2,2,1,2,2,2,1,3,3,3,3,3,1,2,2,1,1,2,1,1,2,3,3,1,1,1,1,2,2,2,1,2,2,3,1,1,2,2,2,3,1,3,3,3,1,3,3,3,3,2,2,3,3,1,2,1,2,3,3,1,3,3,2,2,9,5,12,10,
19,Mar10,India,Karnataka,Doddaballapur,13.2895,77.5342,1,6,29,0,28,1,4,0,9,1134,1155347678,95000,356,9,64,56,70,37,213,3,2,1,1,1,1,2,2,1,1,2,2,2,2,2,2,2,1,5,1,2,1,1,1,2,2,2,7,7,3,2,2,1,1,1,2,2,2,2,2,0.16 H 0.25 shops,3,2,2,1,1,2,2,7,1,1,1,2,2,1,2,2,1,1,1,2,5,4,1,4,3,5,1,4,4,5,1,1,4,1,1,1,4,4,1,1,3,4,3,2,2,2,1,4,1,1,1,1,1,2,2,3,2,1,1,2,2,2,1,1,1,2,2,1,2,2,3,3,2,2,2,4,2,2,1,1,1,4,1,3,3,5,2,2,2,2,2,4,1,2,3,1,2,12,9,12,10,
20,1995,Ecuador,Santo Domingo de los Tsachilas,El Carme,-0.2544,79.1727,1,5,66,0,50,2,0,2,1,1771,11406764,22870,40,6,71,9999,9999,9999,200,1,0,1,1,2,9999,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,2,2,6,3,0,5,2,2,1,1,1,2,2,2,2,9999,3,2,3,1,6,1,1,7,1,1,1,1,3,2,6,2,1,1,1,1,1,1,1,3,1,1,2,1,1,3,1,1,2,2,2,3,3,3,2,1,2,3,4,2,2,1,3,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,2,2,1,1,2,2,2,3,2,1,2,2,2,2,1,2,2,2,1,3,2,2,1,3,1,1,2,1,2,2,2,9,5,12,4,
21,Oct 09,South Afri,Gauten,Emfuleni,-26.7,27.8333,3,5,61,0,60,8,8,2,4,5786,49320150,658442,40,2,51,48,33,20,520,5,4,1,1,2,1,2,2,1,2,2,2,2,4,1,1,4,1,1,1,1,1,1,2,2,2,2,6,6,0,5,2,2,1,2,1,2,2,2,2,9999,4,1,2,2,4,1,5,10,1,1,1,3,1,4,4,1,1,1,1,4,1,4,1,1,5,5,1,2,1,1,1,1,5,1,1,1,3,3,2,1,4,3,2,2,2,3,1,1,1,1,2,1,1,2,2,2,1,1,1,2,2,2,1,2,2,1,2,1,2,2,1,2,1,1,1,1,3,2,2,4,5,1,5,3,4,1,2,2,2,2,1,3,1,3,4,2,2,11,10,15,11,
22,2007,Bangladesh,Dhaka,Gazipur,23.9917,90,4196,1,6,27,0,25,0,3,6,0,434,157752512,130000,1044,8,65,56,50,33,238,2,4,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,7,7,0,2,1,1,1,1,2,2,1,2,1,9999,3,1,2,1,4,2,4,5,1,1,1,1,1,1,1,1,1,2,1,4,4,2,1,2,1,1,1,2,2,4,2,1,2,1,1,2,2,2,1,1,2,3,3,3,2,2,2,2,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,2,1,2,3,1,2,4,2,2,2,2,3,3,3,2,3,3,4,3,2,3,3,9999,1,4,4,1,4,4,2,3,3,2,2,8,7,6,10
23,2008,Bangladesh,Dhaka,Gazipur,23.9917,90,4196,1,6,27,0,25,0,3,6,0,497,160000128,130000,1083,7,66,56,50,33,238,2,4,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,7,7,0,3,1,1,1,1,2,2,1,2,1,9999,4,1,2,1,4,2,4,5,2,3,1,1,1,3,3,1,3,2,1,4,4,2,1,2,1,1,1,2,2,4,2,1,3,1,1,2,3,3,1,1,4,3,3,3,2,2,2,2,1,1,1,1,1,2,2,4,1,1,1,2,2,2,1,2,1,2,3,1,2,4,2,3,4,2,3,3,3,2,3,3,4,3,2,3,3,9999,1,4,4,1,4,4,2,3,3,2,2,11,7,6,10
24,Dec09,Bangladesh,Dhaka,Gazipur,23.9917,90.4196,1,6,27,0,25,0,3,0,6,551,162220762,130000,1084,2,66,56,50,33,238,2,4,1,1,2,2,1,2,2,2,1,1,1,1,1,1,1,1,4,1,2,1,1,1,1,2,2,7,7,1,3,1,2,1,2,2,2,1,2,1,0.32/month,5,1,2,1,4,2,4,5,4,5,1,1,1,4,4,1,4,2,1,4,4,2,1,2,1,1,1,3,3,4,2,1,4,1,1,2,3,3,1,1,4,3,3,3,3,3,2,2,1,1,1,1,1,2,2,4,1,1,1,2,2,2,1,2,1,2,3,1,2,4,2,4,4,2,3,3,3,2,3,3,4,3,2,3,3,9999,1,4,4,1,4,4,2,3,3,2,2,11,7,6,10,
25,May10,Sri Lanka,Southern,Hambantota,6.1239,81.1205,1,6,15,0,81,0,6,1,2,2068,2030347,11108,327,9,74,63,20,9,209,11,6,1,1,1,1,1,2,2,1,2,2,3,4,4,3,2,1,3,2,3,1,2,2,2,2,2,7,7,0,2,2,1,1,1,2,2,2,2,2,0,4,2,2,1,2,2,6,3,1,4,3,3,1,4,2,2,3,2,1,3,2,2,1,2,2,2,1,3,3,3,1,1,4,1,2,2,4,4,1,1,3,3,3,3,3,3,1,4,2,1,2,1,1,2,6,2,1,1,1,2,2,2,2,1,1,2,2,1,3,3,2,3,3,2,3,3,3,2,3,3,3,2,4,3,3,3,1,3,3,1,2,3,1,2,3,1,3,11,7,16,9,
26,April10,Indonesia,Jogjakarta,Jogjakarta,7.8753,110.4262,1,3,52,0,90,1,8,1,1,2349,229964723,388000,134,1,71,60,30,19,206,3,5,1,1,1,2,2,1,2,1,2,1,2,2,2,2,2,1,4,1,3,1,2,1,2,2,2,7,7,0,2,2,1,1,2,2,2,1,1,1,30000/month,4,1,2,2,3,1,2,30,1,1,2,3,2,1,2,3,1,1,2,2,2,2,2,3,3,2,2,3,2,4,1,1,4,1,2,2,3,2,2,2,2,3,2,2,3,2,2,1,2,2,1,2,2,1,1,2,2,1,1,1,2,2,2,1,1,2,2,2,2,3,2,4,2,2,3,3,2,2,2,3,1,2,2,3,2,3,1,2,2,1,2,3,1,2,2,2,2,10,4,11,8,
27,May07,Nepal,Kathmandu,Kathmandu,27.7029,85.3182,99,2,17,0,35,0,1,3,5,364,28286728,790597,201,6,67,55,51,31,277,3,2,1,1,1,2,2,2,1,1,2,2,2,2,2,2,3,1,2,1,3,1,1,1,1,1,2,7,6,1,2,1,1,1,1,1,2,2,2,2,0.51/month,3,2,2,1,6,1,1,12,1,2,2,2,2,1,6,2,1,1,1,2,3,3,3,2,3,4,1,3,3,4,2,2,4,2,2,3,3,3,1,1,2,3,3,2,2,1,4,2,2,1,1,2,1,2,2,2,1,1,2,9999,9999,9999,9999,1,2,4,2,1,2,2,4,1,1,3,2,2,2,2,2,2,2,2,2,1,2,3,2,2,2,2,1,2,1,1,1,1,3,9,9,13,5,
28,Mar 10,Turkey,Kutahya,Kutahya,39.4167,29.9833,2,5,69,0,60,4,0,2,7,8215,74815703,250000,99,3,72,66,36,14,106,2,9,1,1,1,2,1,2,1,1,2,2,2,2,2,2,1,1,5,5,2,1,1,1,2,2,2,7,4,3,5,2,2,1,2,1,2,2,2,2,9999,5,2,1,2,6,2,6,7,1,5,1,1,3,1,6,1,1,2,2,2,2,2,2,5,2,1,1,2,2,3,1,2,1,2,2,9999,4,5,1,1,3,4,5,1,1,1,2,1,1,2,2,1,1,2,9999,4,1,1,1,1,2,2,1,1,2,2,3,2,2,3,2,2,2,2,3,5,4,2,3,3,1,3,5,5,2,2,1,2,4,2,3,3,1,1,1,1,1,12,5,11,6,
29,May 95,Pakistan,Punjab,Lahore,31.5451,74.3407,2,2,36,0,84,0,6,0,8,495,122374953,5000000,183,6,60,9999,9999,9999,233,2,5,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,1,2,2,2,6,3,0,3,1,1,1,1,1,1,2,2,1,0,3,2,1,1,6,1,1,25,1,2,1,2,3,1,2,2,1,2,2,1,1,1,1,2,2,2,1,1,1,3,1,2,2,2,2,3,2,2,2,1,2,2,3,1,1,1,4,2,2,1,1,2,2,2,2,1,1,1,2,9999,9999,9999,9999,2,2,4,2,2,1,1,2,1,1,3,1,2,1,2,2,2,2,2,2,1,2,4,3,2,1,3,1,1,2,1,1,2,3,7,3,6,3,
30,Oct 09,South Afri,Western Cape,Langeberg,-33.9167,20.5,2,5,61,0,65,8,8,2,4,5786,49320150,81320,40,2,51,48,33,20,520,5,4,1,1,2,1,1,1,1,1,1,1,1,1,1,2,4,1,5,4,2,1,1,2,2,2,1,3,1,1,5,2,2,1,1,1,2,2,2,2,6.5 / 23,5,1,4,2,5,1,1,45,1,5,1,1,1,5,3,2,1,1,1,3,3,2,1,2,3,3,1,3,3,3,1,2,4,1,9999,1,3,4,1,1,4,4,3,2,3,2,4,2,1,1,1,1,2,2,2,4,1,1,1,1,1,2,2,1,2,1,2,1,4,3,3,3,3,4,3,3,3,1,3,3,3,3,3,3,3,2,1,3,4,3,3,3,1,2,2,1,2,12,6,10,8,
31,Jan09,Malawi,Lilongwe,Lilongwe,-13.9833,33.7733,1,5,19,0,50,0,1,0,7,326,15263417,700000,130,4,53,44,43,29,481,4,2,1,1,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,4,1,2,2,2,2,2,1,7,0,2,2,1,1,2,1,2,2,2,2,12.07 load,2,2,2,1,1,1,1,15,1,1,2,3,2,1,2,2,1,1,1,4,3,1,1,3,3,3,1,3,3,3,1,2,3,2,2,6,3,2,1,2,2,2,2,2,2,1,9999,1,1,1,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,2,2,3,3,2,3,3,2,2,4,2,2,3,1,2,2,2,2,2,1,2,2,1,2,7,6,7,7,
32,Feb10,Zambia,Lusaka,Lusaka,-15.4082,28.2872,1,5,35,0,37,0,2,1,1,985,12935368,2000000,17,9,45,40,56,36,515,1,4,1,1,1,1,1,2,1,1,2,2,1,2,3,1,2,1,3,1,3,1,1,1,2,2,2,5,5,0,2,2,1,1,1,1,2,2,2,2,14.8,2,2,3,2,1,1,1,14,2,3,2,3,2,4,3,2,2,2,1,2,2,2,2,3,3,4,1,3,3,3,1,1,4,1,1,2,3,3,1,1,3,3,2,4,4,2,2,2,1,1,2,1,1,2,2,3,1,1,1,1,2,2,2,1,1,2,2,1,2,2,2,3,2,4,2,2,2,2,2,2,3,3,2,2,2,4,1,3,3,1,2,3,1,2,2,2,2,10,6,10,8,
33,Jul08,Nicaragua,Managua,Managua,12.1364,-86.2514,1,6,57,0,48,0,8,2,8,1035,5667325,1000000,44,4,73,64,23,13,165,3,1,1,1,1,1,1,2,1,1,1,2,2,1,4,2,1,3,2,2,3,1,2,1,2,1,2,5,3,0,2,2,2,1,1,1,2,2,2,1,1.1/month,3,1,2,1,2,1,2,8,1,2,1,2,3,4,2,2,2,1,1,2,3,4,1,1,1,1,3,3,2,5,1,2,4,1,1,2,3,2,1,1,2,3,2,3,3,2,4,2,1,1,2,1,1,2,2,2,1,1,2,9999,9999,9999,9999,1,1,5,1,1,3,3,3,3,3,3,3,3,2,2,2,3,2,3,3,3,3,3,1,3,2,3,2,3,1,2,2,1,2,9,9,9,8,
