dropoff_site,load_id,load_time,load_type,load_weight,report_date,route_number,route_type
Ashaiman Municipal,58,2008,YARD TRIMMING,75181,2008,YF04,YARD TRIMMING
Tema Metropolis,59,2008,SWEEPING,58518,2008,SB10,SWEEPING
Tema West,60,2008,GARBAGE COLLECTIONS,41414,2008,PAW64,GARBAGE COLLECTIONS
Tema East,61,2008,YARD TRIMMING,9573,2008,YT08,YARD TRIMMING
Kpone Katamanso,62,2008,GARBAGE COLLECTIONS,86505,2008,PAMJP,GARBAGE COLLECTIONS
Dangbe West,63,2008,GARBAGE COLLECTIONS,86647,2008,PM41,GARBAGE COLLECTIONS
Dangbe East,64,2008,GARBAGE COLLECTIONS,18522,2008,PAF83,GARBAGE COLLECTIONS
South Tongu,65,2008,GARBAGE COLLECTIONS,71401,2008,PM32,GARBAGE COLLECTIONS
Keta Municapal,66,2008,RECYCLING - SINGLE STREAM,24784,2008,RWAU23,RECYCLING - SINGLE STREAM
Ketu South,67,2008,RECYCLING - PAPER,3569,2008,RW33,RECYCLING - PAPER
Ketu North,68,2008,RECYCLING - COMINGLE,35385,2008,DH3,RECYCLING - COMINGLE
Akatsi,69,2008,RECYCLING - COMINGLE,115612,2008,RM12,RECYCLING - COMINGLE
North Tongu,70,2008,GARBAGE COLLECTIONS,84325,2008,PH20,GARBAGE COLLECTIONS
Adaklu Anyigbe,71,2008,GARBAGE COLLECTIONS,14200,2008,PAF75,GARBAGE COLLECTIONS
Ho Municipal,72,2008,RECYCLING - COMINGLE,27206,2008,RM33,RECYCLING - COMINGLE
South Dayi,73,2008,RECYCLING - SINGLE STREAM,121457,2008,DW3,RECYCLING - SINGLE STREAM
North Dayi,74,2008,RECYCLING - SINGLE STREAM,22701,2008,RHAS35,RECYCLING - SINGLE STREAM
Hohoe Municipal,75,2008,GARBAGE COLLECTIONS,120086,2008,PAF75,GARBAGE COLLECTIONS
Biakoye,76,2008,GARBAGE COLLECTIONS,92510,2008,PH32,GARBAGE COLLECTIONS
Jasikan,77,2008,BRUSH,89675,2008,BR16,BRUSH
Kadjebi,78,2008,GARBAGE COLLECTIONS,97100,2008,PF20,GARBAGE COLLECTIONS
Krachi East,79,2008,GARBAGE COLLECTIONS,105780,2008,PF40,GARBAGE COLLECTIONS
Krachi West,80,2008,RECYCLING - SINGLE STREAM,3126,2008,RWBU22,RECYCLING - SINGLE STREAM
Nkwanta South,81,2008,BULK,24252,2008,BU23,BULK
Nkwanta North,82,2008,GARBAGE COLLECTIONS,130846,2008,PAFCOM,GARBAGE COLLECTIONS
Birim South,83,2008,GARBAGE COLLECTIONS,124978,2008,PW21,GARBAGE COLLECTIONS
Birim Municipal,84,2008,RECYCLING - SINGLE STREAM,99467,2008,RFAU13,RECYCLING - SINGLE STREAM
West Akim Municipal,85,2008,SWEEPING,81667,2008,SE12-R,SWEEPING
Suhum-Kraboa Coaltar,86,2008,YARD TRIMMING,100695,2008,YH02,YARD TRIMMING
Akwapem South Municipal,87,2008,RECYCLING - SINGLE STREAM,29074,2008,RTAU23,RECYCLING - SINGLE STREAM
Akwapem North,88,2008,GARBAGE COLLECTIONS,35802,2008,PAM09,GARBAGE COLLECTIONS
New Juaben Municipal,89,2008,SWEEPING,46720,2008,SB21,SWEEPING
Yilo Krobo,90,2008,GARBAGE COLLECTIONS,97878,2008,PT31,GARBAGE COLLECTIONS
Lower Manya,91,2008,YARD TRIMMING,54175,2008,YH12,YARD TRIMMING
Asuogyaman,92,2008,BRUSH,4471,2008,BR08,BRUSH
Upper Manya,93,2008,BULK,26783,2008,BU07,BULK
Fanteakwa,94,2008,RECYCLING - SINGLE STREAM,119352,2008,RHAU14,RECYCLING - SINGLE STREAM
East Akim Municipal,95,2008,BAGGED LITTER,29262,2008,STO13,BAGGED LITTER
Kwaebibirem,96,2008,GARBAGE COLLECTIONS,69176,2008,PAM67,GARBAGE COLLECTIONS
Akyem Mansa,97,2008,RECYCLING - SINGLE STREAM,26301,2008,RTBU26,RECYCLING - SINGLE STREAM
Birim North,98,2008,GARBAGE COLLECTIONS,41117,2008,PAM61,GARBAGE COLLECTIONS
Atiwa,99,2008,RECYCLING - SINGLE STREAM,26648,2008,RFBU10,RECYCLING - SINGLE STREAM
Kwahu West Municipal,100,2008,GARBAGE COLLECTIONS,40727,2008,PAM65,GARBAGE COLLECTIONS
Kwahu South,101,2008,RECYCLING - COMINGLE,60423,2008,RW02,RECYCLING - COMINGLE
Kwahu East,102,2008,GARBAGE COLLECTIONS,7752,2008,PAW71,GARBAGE COLLECTIONS
Kwahu North,103,2008,RECYCLING - COMINGLE,97746,2008,RH02,RECYCLING - COMINGLE
Atwima Mponua,104,2008,SWEEPING,138982,2008,SDT01,SWEEPING
Amansie West,105,2008,YARD TRIMMING,139669,2008,YT07,YARD TRIMMING
Amansie Central,106,2008,GARBAGE COLLECTIONS,7802,2008,PAT61,GARBAGE COLLECTIONS
Adansi South,107,2008,GARBAGE COLLECTIONS,81525,2008,PAH65,GARBAGE COLLECTIONS
Obuasi Municipal,108,2008,RECYCLING - SINGLE STREAM,126850,2008,RMBU10,RECYCLING - SINGLE STREAM
Adansi North,109,2008,YARD TRIMMING,29360,2008,YM01,YARD TRIMMING
Bekwai Municipal,110,2008,SWEEPING,106783,2008,SC20-R,SWEEPING
Bosome Freho,111,2008,BULK,140922,2008,BU18,BULK
Asante Akim South,112,2008,RECYCLING - PAPER,30379,2008,RF23,RECYCLING - PAPER
Asante Akim North Municipal,113,2008,GARBAGE COLLECTIONS,36412,2008,PT31,GARBAGE COLLECTIONS
Ejisu Juaben Municipal,114,2008,GARBAGE COLLECTIONS,117565,2008,PAW01,GARBAGE COLLECTIONS
Bosumtwi,115,2008,GARBAGE COLLECTIONS,107796,2008,PH19,GARBAGE COLLECTIONS
Atwima Kwanwoma,116,2008,GARBAGE COLLECTIONS,22208,2008,PAF03,GARBAGE COLLECTIONS
Kumasi Metropolis,117,2008,BRUSH,53104,2008,ST0506,BRUSH
Kwadaso,118,2008,YARD TRIMMING,1812,2008,OH-1,YARD TRIMMING
Nhyiaeso,119,2008,RECYCLING - SINGLE STREAM,89175,2008,RWAU14,RECYCLING - SINGLE STREAM
Subin,120,2008,RECYCLING - PAPER,7797,2008,RM05,RECYCLING - PAPER
Asokwa,121,2008,YARD TRIMMING,135894,2008,YH08,YARD TRIMMING
Oforikrom,122,2008,GARBAGE COLLECTIONS,57952,2008,PM14,GARBAGE COLLECTIONS
Asawase,123,2008,BRUSH,40585,2008,BR05,BRUSH
Manhyia,124,2008,GARBAGE COLLECTIONS,71655,2008,PM30,GARBAGE COLLECTIONS
Old Tafo,125,2008,RECYCLING - COMINGLE,73158,2008,RT13,RECYCLING - COMINGLE
Suame,126,2008,RECYCLING - PAPER,11915,2008,RT11,RECYCLING - PAPER
Bantama,127,2008,SWEEPING,103377,2008,SB40,SWEEPING
Atwima Nwabiagya,128,2008,BRUSH,92646,2008,BR15,BRUSH
Ahafo Ano South,129,2008,GARBAGE COLLECTIONS,24170,2008,PAM87,GARBAGE COLLECTIONS
Ahafo Ano North,130,2008,GARBAGE COLLECTIONS,104072,2008,PH40,GARBAGE COLLECTIONS
Offinso Municipal,131,2008,GARBAGE COLLECTIONS,33249,2008,PAW61,GARBAGE COLLECTIONS
Afigya Kwabre,132,2008,BRUSH,122270,2008,ST0506,BRUSH
Kwabre East,133,2008,RECYCLING - SINGLE STREAM,54398,2008,RTBS43,RECYCLING - SINGLE STREAM
Afigya Sekyere,134,2008,YARD TRIMMING,35998,2008,YBF00,YARD TRIMMING
Mampong Municipal,135,2008,SWEEPING,34779,2008,C07-R,SWEEPING
Sekyere East,136,2008,GARBAGE COLLECTIONS,128443,2008,PH23,GARBAGE COLLECTIONS
Sekyere Afram Plains,137,2008,BRUSH,139865,2008,BR01,BRUSH
Sekyere Central,138,2008,RECYCLING - SINGLE STREAM,21163,2008,RMBU22,RECYCLING - SINGLE STREAM
Ejura Sekye Dumasi,139,2008,GARBAGE COLLECTIONS,52949,2008,PAT73,GARBAGE COLLECTIONS
Offinso North,140,2008,GARBAGE COLLECTIONS,58156,2008,PAM76,GARBAGE COLLECTIONS
Asunafo South,141,2008,RECYCLING - SINGLE STREAM,109589,2008,RHBU21,RECYCLING - SINGLE STREAM
Asunafo North Municipal,142,2008,RECYCLING - SINGLE STREAM,40757,2008,RHBS34,RECYCLING - SINGLE STREAM
Asutifi,143,2008,GARBAGE COLLECTIONS,135569,2008,PH20,GARBAGE COLLECTIONS
Dormaa Municipal,144,2008,RECYCLING - SINGLE STREAM,93643,2008,RSW01,RECYCLING - SINGLE STREAM
Dormaa East,145,2008,YARD TRIMMING,33359,2008,YM08,YARD TRIMMING
Tano South,146,2008,BULK,24741,2008,BU09,BULK
Tano North,147,2008,RECYCLING - SINGLE STREAM,18786,2008,RWAS40,RECYCLING - SINGLE STREAM
Sunyani Municipal,148,2008,GARBAGE COLLECTIONS,9014,2008,PT30,GARBAGE COLLECTIONS
Sunyani West,149,2008,YARD TRIMMING,11815,2008,YF06,YARD TRIMMING
Berekum Municipal,150,2008,RECYCLING - SINGLE STREAM,7086,2008,RTAU14,RECYCLING - SINGLE STREAM
Jaman South,151,2008,BULK,5252,2008,BU05,BULK
Jaman North,152,2008,BRUSH,45621,2008,BR17,BRUSH
Tain,153,2008,RECYCLING - SINGLE STREAM,104788,2008,DM2,RECYCLING - SINGLE STREAM
Wenchi Municipal,154,2008,SWEEPING,23643,2008,E19,SWEEPING
Techiman Municipal,155,2008,RECYCLING - SINGLE STREAM,99047,2008,RTBU10,RECYCLING - SINGLE STREAM
Nkoranza South,156,2008,RECYCLING - PAPER,41163,2008,RF14,RECYCLING - PAPER
Nkoranza North,157,2008,GARBAGE COLLECTIONS,9945,2008,PAM69,GARBAGE COLLECTIONS
Atebubu Amantin,158,2008,BRUSH,5170,2008,BR17,BRUSH
Sene,159,2008,SWEEPING,91538,2008,SE05-R,SWEEPING
Pru,160,2008,SWEEPING,139109,2008,SDT01,SWEEPING
Kintampo South,161,2008,RECYCLING - SINGLE STREAM,10045,2008,RMAS30,RECYCLING - SINGLE STREAM
Kintampo North Municipal,162,2008,RECYCLING - SINGLE STREAM,130115,2008,RMAU11,RECYCLING - SINGLE STREAM
Bole,163,2008,YARD TRIMMING,140871,2008,OH-1,YARD TRIMMING
Sawla-Tuna-Kalba,164,2008,GARBAGE COLLECTIONS,22179,2008,PAM73,GARBAGE COLLECTIONS
West Gonja,165,2008,GARBAGE COLLECTIONS,48567,2008,PAH63,GARBAGE COLLECTIONS
Gonja Central,166,2008,RECYCLING - PAPER,106275,2008,RW23,RECYCLING - PAPER
East Gonja,167,2008,SWEEPING,21455,2008,DSS01,SWEEPING
Kpandai,168,2008,RECYCLING - SINGLE STREAM,4401,2008,RWAU14,RECYCLING - SINGLE STREAM
Nanumba South,169,2008,BULK,121781,2008,BU16,BULK
Nanumba North,170,2008,GARBAGE COLLECTIONS,138495,2008,PAH75,GARBAGE COLLECTIONS
Zabzugu Tatali,171,2008,BULK,16377,2008,BU13,BULK
Yendi Municipal,172,2008,BULK,70109,2008,BU02,BULK
Tamale Metropolis,173,2008,RECYCLING - COMINGLE,30600,2008,RF30,RECYCLING - COMINGLE
Tamale South,174,2008,BRUSH,4614,2008,BR20,BRUSH
Tamale Central,175,2008,GARBAGE COLLECTIONS,2610,2008,PT86,GARBAGE COLLECTIONS
Tamale North,176,2008,RECYCLING - SINGLE STREAM,104589,2008,RMBU26,RECYCLING - SINGLE STREAM
Tolon Kumbugu,177,2008,YARD TRIMMING,114376,2008,YH11,YARD TRIMMING
Savelugu Nanton,178,2008,GARBAGE COLLECTIONS,53200,2008,PM13,GARBAGE COLLECTIONS
Karaga,179,2008,RECYCLING - SINGLE STREAM,28349,2008,RMBU11,RECYCLING - SINGLE STREAM
Gushiegu,180,2008,RECYCLING - PAPER,121033,2008,RF13,RECYCLING - PAPER
Saboba,181,2008,YARD TRIMMING,27428,2008,YT03,YARD TRIMMING
Chereponi,182,2008,YARD TRIMMING,121548,2008,YF05,YARD TRIMMING
Bunkpurugu Yonyo,183,2008,SWEEPING,42993,2008,SDT01,SWEEPING
Mamprusi East,184,2008,SWEEPING,37278,2008,N17,SWEEPING
Mamprusi West,185,2008,SWEEPING,125291,2008,SE08-R,SWEEPING
Builsa,186,2008,RECYCLING - COMINGLE,136608,2008,DH1,RECYCLING - COMINGLE
Kasena Nankana West,187,2008,RECYCLING - SINGLE STREAM,40834,2008,RMAU12,RECYCLING - SINGLE STREAM
Kasena Nankana East,188,2008,RECYCLING - COMINGLE,138737,2008,RW06,RECYCLING - COMINGLE
Bolgatanga Municipal,189,2008,RECYCLING - COMINGLE,42149,2008,RT30,RECYCLING - COMINGLE
Talensi Nabdam,190,2008,RECYCLING - COMINGLE,30246,2008,RT30,RECYCLING - COMINGLE
Bongo,191,2008,GARBAGE COLLECTIONS,33966,2008,PAH05,GARBAGE COLLECTIONS
Bawku West,192,2008,RECYCLING - PAPER,34751,2008,RF14,RECYCLING - PAPER
Garu Tempane,193,2008,GARBAGE COLLECTIONS,100793,2008,PAF71,GARBAGE COLLECTIONS
Bawku Municipal,194,2008,YARD TRIMMING,20811,2008,YH02,YARD TRIMMING
Wa West,195,2008,BULK,1327,2008,BU13,BULK
Wa Municipal,196,2008,RECYCLING - SINGLE STREAM,66517,2008,DT4,RECYCLING - SINGLE STREAM
Wa East,197,2008,BULK,52775,2008,BU06,BULK
Sissala East,198,2008,SWEEPING,48360,2008,SE12-R,SWEEPING
Nadowli,199,2008,SWEEPING,107589,2008,SDT01,SWEEPING
Jirapa,200,2008,GARBAGE COLLECTIONS,137597,2008,PAH63,GARBAGE COLLECTIONS
Sissala West,201,2008,RECYCLING - SINGLE STREAM,49336,2008,RWBS34,RECYCLING - SINGLE STREAM
Lambussie Karni,202,2008,RECYCLING - SINGLE STREAM,120205,2008,RHBU11,RECYCLING - SINGLE STREAM
Lawra,203,2008,RECYCLING - SINGLE STREAM,26481,2008,RWAS34,RECYCLING - SINGLE STREAM
Jomoro,204,2009,RECYCLING - SINGLE STREAM,40892,2009,IRM1,RECYCLING - SINGLE STREAM
Ellembelle,205,2009,RECYCLING - SINGLE STREAM,37931,2009,RWAU16,RECYCLING - SINGLE STREAM
Nzema East,206,2009,BRUSH,664,2009,HD-BR,BRUSH
Ahanta West,207,2009,RECYCLING - PAPER,132535,2009,RW20,RECYCLING - PAPER
Sekondi Takoradi Metropolis,208,2009,RECYCLING - SINGLE STREAM,31320,2009,RHBU14,RECYCLING - SINGLE STREAM
Kwesimintsim,209,2009,SWEEPING,116048,2009,SDT01,SWEEPING
Takoradi,210,2009,GARBAGE COLLECTIONS,29180,2009,PW11,GARBAGE COLLECTIONS
Sekondi,211,2009,RECYCLING - COMINGLE,43058,2009,RM01,RECYCLING - COMINGLE
Essikadu-Ketan,212,2009,RECYCLING - COMINGLE,89435,2009,RM01,RECYCLING - COMINGLE
Shama,213,2009,YARD TRIMMING,122280,2009,YH04,YARD TRIMMING
Mpohor-Wassa East,214,2009,GARBAGE COLLECTIONS,29050,2009,PAM06,GARBAGE COLLECTIONS
Tarkwa Nsuaem Municipal,215,2009,GARBAGE COLLECTIONS,73015,2009,PAM70,GARBAGE COLLECTIONS
Prestea/Huni Valley,216,2009,GARBAGE COLLECTIONS,117102,2009,PAM54,GARBAGE COLLECTIONS
Wassa Amenfi East,217,2009,RECYCLING - SINGLE STREAM,3269,2009,DW3,RECYCLING - SINGLE STREAM
Wassa Amenfi West,218,2009,BRUSH,58591,2009,BR09,BRUSH
Aowin/Suaman,219,2009,GARBAGE COLLECTIONS,20389,2009,PF30,GARBAGE COLLECTIONS
Sefwi Akontombra,220,2009,SWEEPING,108544,2009,SDT01,SWEEPING
Sefwi Wiawso,221,2009,YARD TRIMMING,32513,2009,YW06,YARD TRIMMING
Sefwi Bibiani-Ahwiaso Bekwai,222,2009,GARBAGE COLLECTIONS,96840,2009,PH12,GARBAGE COLLECTIONS
Juabeso,223,2009,GARBAGE COLLECTIONS,60171,2009,PAW64,GARBAGE COLLECTIONS
Bia,224,2009,RECYCLING - COMINGLE,116894,2009,RW20,RECYCLING - COMINGLE
Komenda,225,2009,RECYCLING - SINGLE STREAM,123542,2009,RTBU15,RECYCLING - SINGLE STREAM
Cape Coast Metropolis,226,2009,RECYCLING - COMINGLE,110030,2009,RM22,RECYCLING - COMINGLE
Cape Coast South,227,2009,SWEEPING,109824,2009,SDT01,SWEEPING
Cape Coast North,228,2009,RECYCLING - SINGLE STREAM,6215,2009,RHAS34,RECYCLING - SINGLE STREAM
Abura-Asebu-Kwamankese,229,2009,GARBAGE COLLECTIONS,56778,2009,PAF83,GARBAGE COLLECTIONS
Mfantsiman Municipal,230,2009,RECYCLING - COMINGLE,11750,2009,RT30,RECYCLING - COMINGLE
Ajumako-Enyan-Essiam,231,2009,GARBAGE COLLECTIONS,45982,2009,PAM82,GARBAGE COLLECTIONS
Gomoa West,232,2009,SWEEPING,91533,2009,SE13-R,SWEEPING
Effutu Municipal,233,2009,GARBAGE COLLECTIONS,111837,2009,PAM79,GARBAGE COLLECTIONS
Gomoa East,234,2009,RECYCLING - SINGLE STREAM,81008,2009,RFAS35,RECYCLING - SINGLE STREAM
Ewutu Senya,235,2009,RECYCLING - PAPER,56413,2009,RF25,RECYCLING - PAPER
Agona East,236,2009,YARD TRIMMING,10395,2009,YF07,YARD TRIMMING
Agona West,237,2009,YARD TRIMMING,10237,2009,YM01,YARD TRIMMING
Brakwa,238,2009,BULK,68108,2009,BU23,BULK
Assin South,239,2009,GARBAGE COLLECTIONS,139424,2009,PAM82,GARBAGE COLLECTIONS
Assin North Municipal,240,2009,SWEEPING,36124,2009,SB59,SWEEPING
Twifo-Heman-Lower Denkyira,241,2009,GARBAGE COLLECTIONS,97116,2009,PAM60,GARBAGE COLLECTIONS
Upper Denkyira East Municipal,242,2009,GARBAGE COLLECTIONS,28781,2009,PAH01,GARBAGE COLLECTIONS
Upper Denkyira West,243,2009,GARBAGE COLLECTIONS,78521,2009,PAM04,GARBAGE COLLECTIONS
Weija (Ga South) Municipal,244,2009,GARBAGE COLLECTIONS,12382,2009,PAM77,GARBAGE COLLECTIONS
Ga West Municipal,245,2009,RECYCLING - COMINGLE,52731,2009,RW05,RECYCLING - COMINGLE
Ga East Municipal,246,2009,RECYCLING - SINGLE STREAM,11703,2009,RHAS35,RECYCLING - SINGLE STREAM
Accra Metropolis,247,2009,GARBAGE COLLECTIONS,131345,2009,PH11,GARBAGE COLLECTIONS
Ablekuma South,248,2009,BRUSH,134788,2009,BR25,BRUSH
Ablekuma Central,249,2009,GARBAGE COLLECTIONS,135740,2009,PAM61,GARBAGE COLLECTIONS
Ashiedu Keteke,250,2009,RECYCLING - COMINGLE,43650,2009,RH13,RECYCLING - COMINGLE
Osu Klotey,251,2009,GARBAGE COLLECTIONS,32376,2009,PAT04,GARBAGE COLLECTIONS
La,252,2009,GARBAGE COLLECTIONS,15517,2009,PAW68,GARBAGE COLLECTIONS
Ayawaso East,253,2009,YARD TRIMMING,31117,2009,YF09,YARD TRIMMING
Ayawaso Central,254,2009,SWEEPING,63850,2009,E11-R,SWEEPING
Okai Koi South,255,2009,RECYCLING - COMINGLE,11032,2009,RT20,RECYCLING - COMINGLE
Ablekuma North,256,2009,GARBAGE COLLECTIONS,30685,2009,PAF60,GARBAGE COLLECTIONS
Okai Koi North,257,2009,RECYCLING - SINGLE STREAM,61808,2009,RWBU20,RECYCLING - SINGLE STREAM
Ayawaso West Wogon,258,2009,GARBAGE COLLECTIONS,55377,2009,PAF72,GARBAGE COLLECTIONS
Adenta Municipal,259,2009,RECYCLING - SINGLE STREAM,15807,2009,RMAU23,RECYCLING - SINGLE STREAM
Ledzokuku/Krowor Municipal,260,2009,GARBAGE COLLECTIONS,130668,2009,PM20,GARBAGE COLLECTIONS
Ashaiman Municipal,261,2009,GARBAGE COLLECTIONS,56817,2009,PAW63,GARBAGE COLLECTIONS
Tema Metropolis,262,2009,RECYCLING - COMINGLE,134483,2009,DW2,RECYCLING - COMINGLE
Tema West,263,2009,BRUSH,11638,2009,BR17,BRUSH
Tema East,264,2009,YARD TRIMMING,22726,2009,YM05,YARD TRIMMING
Kpone Katamanso,265,2009,GARBAGE COLLECTIONS,7810,2009,PH10,GARBAGE COLLECTIONS
Dangbe West,266,2009,RECYCLING - SINGLE STREAM,27796,2009,RFAU22,RECYCLING - SINGLE STREAM
Dangbe East,267,2009,DEAD ANIMAL,44270,2009,DA01,DEAD ANIMAL
South Tongu,268,2009,RECYCLING - PAPER,137318,2009,RM14,RECYCLING - PAPER
Keta Municapal,269,2009,GARBAGE COLLECTIONS,41384,2009,PAM71,GARBAGE COLLECTIONS
Ketu South,270,2009,GARBAGE COLLECTIONS,51119,2009,PH11,GARBAGE COLLECTIONS
Ketu North,271,2009,YARD TRIMMING,36373,2009,YT07,YARD TRIMMING
Akatsi,272,2009,BULK,25212,2009,BU13,BULK
North Tongu,273,2009,SWEEPING,75271,2009,NW05-R,SWEEPING
Adaklu Anyigbe,274,2009,GARBAGE COLLECTIONS,104913,2009,PH20,GARBAGE COLLECTIONS
Ho Municipal,275,2009,SWEEPING,68874,2009,DSS04,SWEEPING
South Dayi,276,2009,BRUSH,13968,2009,ST0506,BRUSH
North Dayi,277,2009,GARBAGE COLLECTIONS,135265,2009,PAW74,GARBAGE COLLECTIONS
Hohoe Municipal,278,2009,BRUSH,7306,2009,BR19,BRUSH
Biakoye,279,2009,GARBAGE COLLECTIONS,130804,2009,PAM81,GARBAGE COLLECTIONS
Jasikan,280,2009,GARBAGE COLLECTIONS,9381,2009,PT19,GARBAGE COLLECTIONS
Kadjebi,281,2009,SWEEPING,132660,2009,SB02,SWEEPING
Krachi East,282,2009,SWEEPING,98128,2009,NE18-R,SWEEPING
Krachi West,283,2009,DEAD ANIMAL,5508,2009,DA01,DEAD ANIMAL
Nkwanta South,284,2009,GARBAGE COLLECTIONS,19718,2009,PAW07,GARBAGE COLLECTIONS
