TotalPop,Urban,Rural,Districts,Years,TotWasteperday,TotWasteperyear,Organics,Plastics,Inert,Miscellaneous,Paper,Metals,Glass,LeatherRubber,Textiles,Employed,Umemployed,Literate,NotLiterate
135189,57568,77621,Gomoa West,2010,63538.83,23191672.95,14146920.4995,3246834.213,1391500.377,1159583.6475,1159583.6475,695750.1885,695750.1885,231916.7295,231916.7295,47746,21865,30921,61834
68597,63969,4628,Effutu Municipal,2010,32240.59,11767815.35,7178367.3635,1647494.149,706068.921,588390.7675,588390.7675,353034.4605,353034.4605,117678.1535,117678.1535,22550,20051,9916,41568
207071,108568,98503,Gomoa East,2010,97323.37,35523030.05,21669048.3305,4973224.207,2131381.803,1776151.5025,1776151.5025,1065690.9015,1065690.9015,355230.3005,355230.3005,75209,40803,26376,116501
195306,143794,51512,Ewutu Senya,2010,91793.82,33504744.3,20437894.023,4690664.202,2010284.658,1675237.215,1675237.215,1005142.329,1005142.329,335047.443,335047.443,76072,35041,25826,109839
85920,37283,48637,Agona East,2010,40382.4,14739576,8991141.36,2063540.64,884374.56,736978.8,736978.8,442187.28,442187.28,147395.76,147395.76,31853,13509,14475,44256
115358,88351,27007,Agona West,2010,54218.26,19789664.9,12071695.589,2770553.086,1187379.894,989483.245,989483.245,593689.947,593689.947,197896.649,197896.649,45091,19314,13667,68499
112706,54213,58493,Brakwa,2010,52971.82,19334714.3,11794175.723,2706860.002,1160082.858,966735.715,966735.715,580041.429,580041.429,193347.143,193347.143,42784,14891,16158,59304
104244,NAN,104244,Assin South,2010,48994.68,17883058.2,10908665.502,2503628.148,1072983.492,894152.91,894152.91,536491.746,536491.746,178830.582,178830.582,38547,15349,15824,54038
161341,57710,103631,Assin North Municipal,2010,75830.27,27678048.55,16883609.6155,3874926.797,1660682.913,1383902.4275,1383902.4275,830341.4565,830341.4565,276780.4855,276780.4855,65542,21242,21887,87808
116874,29468,87406,Twifo-Heman-Lower Denkyira,2010,54930.78,20049734.7,12230338.167,2806962.858,1202984.082,1002486.735,1002486.735,601492.041,601492.041,200497.347,200497.347,45405,18183,18562,61137
72810,32336,40474,Upper Denkyira East Municipal,2010,34220.7,12490555.5,7619238.855,1748677.77,749433.33,624527.775,624527.775,374716.665,374716.665,124905.555,124905.555,30827,10976,9962,42389
60054,NAN,60054,Upper Denkyira West,2010,28225.38,10302263.7,6284380.857,1442316.918,618135.822,515113.185,515113.185,309067.911,309067.911,103022.637,103022.637,24318,7837,10740,30060
485643,430780,54863,Weija (Ga South) Municipal,2010,228252.21,83312056.65,50820354.5565,11663687.931,4998723.399,4165602.8325,4165602.8325,2499361.6995,2499361.6995,833120.5665,833120.5665,198439,99629,40028,309643
262742,181526,81216,Ga West Municipal,2010,123488.74,45073390.1,27494767.961,6310274.614,2704403.406,2253669.505,2253669.505,1352201.703,1352201.703,450733.901,450733.901,111581,57300,13959,182206
259668,227172,32496,Ga East Municipal,2010,122043.96,44546045.4,27173087.694,6236446.356,2672762.724,2227302.27,2227302.27,1336381.362,1336381.362,445460.454,445460.454,113590,59520,14499,185246
1848614,1848614,NAN,Accra Metropolis,2010,868848.58,317129731.7,193449136.337,44398162.438,19027783.902,15856486.585,15856486.585,9513891.951,9513891.951,3171297.317,3171297.317,831813,412071,146605,1299277
213914,213914,NAN,Ablekuma South,2010,100539.58,36696946.7,22385137.487,5137572.538,2201816.802,1834847.335,1834847.335,1100908.401,1100908.401,366969.467,366969.467,94281,43773,12643,149558
268424,268424,NAN,Ablekuma Central,2010,126159.28,46048137.2,28089363.692,6446739.208,2762888.232,2302406.86,2302406.86,1381444.116,1381444.116,460481.372,460481.372,121180,57074,23887,184703
117525,117525,NAN,Ashiedu Keteke,2010,55236.75,20161413.75,12298462.3875,2822597.925,1209684.825,1008070.6875,1008070.6875,604842.4125,604842.4125,201614.1375,201614.1375,61666,18696,23130,69182
121723,121723,NAN,Osu Klotey,2010,57209.81,20881580.65,12737764.1965,2923421.291,1252894.839,1044079.0325,1044079.0325,626447.4195,626447.4195,208815.8065,208815.8065,54504,29835,8038,90510
183528,183528,NAN,La,2010,86258.16,31484228.4,19205379.324,4407791.976,1889053.704,1574211.42,1574211.42,944526.852,944526.852,314842.284,314842.284,81158,41137,8599,134134
183498,183498,NAN,Ayawaso East,2010,86244.06,31479081.9,19202239.959,4407071.466,1888744.914,1573954.095,1573954.095,944372.457,944372.457,314790.819,314790.819,79748,43141,25985,117928
142322,142322,NAN,Ayawaso Central,2010,66891.34,24415339.1,14893356.851,3418147.474,1464920.346,1220766.955,1220766.955,732460.173,732460.173,244153.391,244153.391,64015,33307,10296,102583
121718,121718,NAN,Okai Koi South,2010,57207.46,20880722.9,12737240.969,2923301.206,1252843.374,1044036.145,1044036.145,626421.687,626421.687,208807.229,208807.229,57050,25640,5910,90371
197024,197024,NAN,Ablekuma North,2010,92601.28,33799467.2,20617674.992,4731925.408,2027968.032,1689973.36,1689973.36,1013984.016,1013984.016,337994.672,337994.672,89549,42113,10148,142448
228271,228271,NAN,Okai Koi North,2010,107287.37,39159890.05,23887532.9305,5482384.607,2349593.403,1957994.5025,1957994.5025,1174796.7015,1174796.7015,391598.9005,391598.9005,103068,48507,14881,161041
70667,70667,NAN,Ayawaso West Wogon,2010,33213.49,12122923.85,7394983.5485,1697209.339,727375.431,606146.1925,606146.1925,363687.7155,363687.7155,121229.2385,121229.2385,25594,28848,3088,56819
78215,49995,28220,Adenta Municipal,2010,36761.05,13417783.25,8184847.7825,1878489.655,805066.995,670889.1625,670889.1625,402533.4975,402533.4975,134177.8325,134177.8325,35636,16124,4800,54304
227932,227932,NAN,Ledzokuku/Krowor Municipal,2010,107128.04,39101734.6,23852058.106,5474242.844,2346104.076,1955086.73,1955086.73,1173052.038,1173052.038,391017.346,391017.346,98689,50089,13474,160094
190972,190972,NAN,Ashaiman Municipal,2010,89756.84,32761246.6,19984360.426,4586574.524,1965674.796,1638062.33,1638062.33,982837.398,982837.398,327612.466,327612.466,87435,38119,17536,126463
402637,392044,10593,Tema Metropolis,2010,189239.39,69072377.35,42134150.1835,9670132.829,4144342.641,3453618.8675,3453618.8675,2072171.3205,2072171.3205,690723.7735,690723.7735,179262,85476,27635,280506
127807,127807,NAN,Tema West,2010,60069.29,21925290.85,13374427.4185,3069540.719,1315517.451,1096264.5425,1096264.5425,657758.7255,657758.7255,219252.9085,219252.9085,57238,30222,5443,95618
160213,160213,NAN,Tema East,2010,75300.11,27484540.15,16765569.4915,3847835.621,1649072.409,1374227.0075,1374227.0075,824536.2045,824536.2045,274845.4015,274845.4015,71796,33022,14990,108351
114617,104024,10593,Kpone Katamanso,2010,53869.99,19662546.35,11994153.2735,2752756.489,1179752.781,983127.3175,983127.3175,589876.3905,589876.3905,196625.4635,196625.4635,50228,22232,7202,76537
122836,41629,81207,Dangbe West,2010,57732.92,21072515.8,12854234.638,2950152.212,1264350.948,1053625.79,1053625.79,632175.474,632175.474,210725.158,210725.158,45609,24278,22712,64069
130795,40291,90504,Dangbe East,2010,61473.65,22437882.25,13687108.1725,3141303.515,1346272.935,1121894.1125,1121894.1125,673136.4675,673136.4675,224378.8225,224378.8225,48679,20973,25997,63274
87950,11310,76640,South Tongu,2010,41336.5,15087822.5,9203571.725,2112295.15,905269.35,754391.125,754391.125,452634.675,452634.675,150878.225,150878.225,32450,13616,15921,45121
147618,78699,68919,Keta Municapal,2010,69380.46,25323867.9,15447559.419,3545341.506,1519432.074,1266193.395,1266193.395,759716.037,759716.037,253238.679,253238.679,52463,30673,27047,81638
160756,74834,85922,Ketu South,2010,75555.32,27577691.8,16822391.998,3860876.852,1654661.508,1378884.59,1378884.59,827330.754,827330.754,275776.918,275776.918,63209,27216,31731,81198
99913,34196,65717,Ketu North,2010,46959.11,17140075.15,10455445.8415,2399610.521,1028404.509,857003.7575,857003.7575,514202.2545,514202.2545,171400.7515,171400.7515,38476,16332,21749,49517
128461,31884,96577,Akatsi,2010,60376.67,22037484.55,13442865.5755,3085247.837,1322249.073,1101874.2275,1101874.2275,661124.5365,661124.5365,220374.8455,220374.8455,50779,18747,27716,64047
149188,43410,105778,North Tongu,2010,70118.36,25593201.4,15611852.854,3583048.196,1535592.084,1279660.07,1279660.07,767796.042,767796.042,255932.014,255932.014,55660,26450,28353,77695
64404,6797,57607,Adaklu Anyigbe,2010,30269.88,11048506.2,6739588.782,1546790.868,662910.372,552425.31,552425.31,331455.186,331455.186,110485.062,110485.062,25027,11731,10001,36345
271881,120349,151532,Ho Municipal,2010,127784.07,46641185.55,28451123.1855,6529765.977,2798471.133,2332059.2775,2332059.2775,1399235.5665,1399235.5665,466411.8555,466411.8555,105958,57584,22935,182079
46661,18122,28539,South Dayi,2010,21930.67,8004694.55,4882863.6755,1120657.237,480281.673,400234.7275,400234.7275,240140.8365,240140.8365,80046.9455,80046.9455,16460,8562,5570,27207
93649,29558,64091,North Dayi,2010,44015.03,16065485.95,9799946.4295,2249168.033,963929.157,803274.2975,803274.2975,481964.5785,481964.5785,160654.8595,160654.8595,33780,18596,9912,58280
262046,105612,156434,Hohoe Municipal,2010,123161.62,44953991.3,27421934.693,6293558.782,2697239.478,2247699.565,2247699.565,1348619.739,1348619.739,449539.913,449539.913,96487,51291,23041,165768
65901,22373,43528,Biakoye,2010,30973.47,11305316.55,6896243.0955,1582744.317,678318.993,565265.8275,565265.8275,339159.4965,339159.4965,113053.1655,113053.1655,27461,8264,10667,34931
59181,16342,42839,Jasikan,2010,27815.07,10152500.55,6193025.3355,1421350.077,609150.033,507625.0275,507625.0275,304575.0165,304575.0165,101525.0055,101525.0055,23807,9035,9637,32195
59303,15682,43621,Kadjebi,2010,27872.41,10173429.65,6205792.0865,1424280.151,610405.779,508671.4825,508671.4825,305202.8895,305202.8895,101734.2965,101734.2965,23558,8986,10764,30760
116804,32400,84404,Krachi East,2010,54897.88,20037726.2,12223012.982,2805281.668,1202263.572,1001886.31,1001886.31,601131.786,601131.786,200377.262,200377.262,46863,13538,35072,40268
122105,23894,98211,Krachi West,2010,57389.35,20947112.75,12777738.7775,2932595.785,1256826.765,1047355.6375,1047355.6375,628413.3825,628413.3825,209471.1275,209471.1275,46164,16584,42401,37206
117878,30146,87732,Nkwanta South,2010,55402.66,20221970.9,12335402.249,2831075.926,1213318.254,1011098.545,1011098.545,606659.127,606659.127,202219.709,202219.709,43387,16794,35844,39993
64553,18127,46426,Nkwanta North,2010,30339.91,11074067.15,6755180.9615,1550369.401,664444.029,553703.3575,553703.3575,332222.0145,332222.0145,110740.6715,110740.6715,25285,6797,27724,12205
119767,56913,62854,Birim South,2010,56290.49,20546028.85,12533077.5985,2876444.039,1232761.731,1027301.4425,1027301.4425,616380.8655,616380.8655,205460.2885,205460.2885,45959,18518,16343,67158
144869,98044,46825,Birim Municipal,2010,68088.43,24852276.95,15159888.9395,3479318.773,1491136.617,1242613.8475,1242613.8475,745568.3085,745568.3085,248522.7695,248522.7695,54212,27241,16399,86441
195349,75260,120089,West Akim Municipal,2010,91814.03,33512120.95,20442393.7795,4691696.933,2010727.257,1675606.0475,1675606.0475,1005363.6285,1005363.6285,335121.2095,335121.2095,75976,30733,28710,107302
167551,44072,123479,Suhum-Kraboa Coaltar,2010,78748.97,28743374.05,17533458.1705,4024072.367,1724602.443,1437168.7025,1437168.7025,862301.2215,862301.2215,287433.7405,287433.7405,68618,23351,20370,96997
123501,60861,62640,Akwapem South Municipal,2010,58045.47,21186596.55,12923823.8955,2966123.517,1271195.793,1059329.8275,1059329.8275,635597.8965,635597.8965,211865.9655,211865.9655,47179,26372,12772,77915
136483,46562,89921,Akwapem North,2010,64147.01,23413658.65,14282331.7765,3277912.211,1404819.519,1170682.9325,1170682.9325,702409.7595,702409.7595,234136.5865,234136.5865,48383,26906,15435,83388
183727,171376,12351,New Juaben Municipal,2010,86351.69,31518366.85,19226203.7785,4412571.359,1891102.011,1575918.3425,1575918.3425,945551.0055,945551.0055,315183.6685,315183.6685,74747,42976,12622,129280
87847,27159,60688,Yilo Krobo,2010,41288.09,15070152.85,9192793.2385,2109821.399,904209.171,753507.6425,753507.6425,452104.5855,452104.5855,150701.5285,150701.5285,34544,15064,13290,50012
89246,74733,14513,Lower Manya,2010,41945.62,15310151.3,9339192.293,2143421.182,918609.078,765507.565,765507.565,459304.539,459304.539,153101.513,153101.513,34502,17924,12105,54005
98046,28788,69258,Asuogyaman,2010,46081.62,16819791.3,10260072.693,2354770.782,1009187.478,840989.565,840989.565,504593.739,504593.739,168197.913,168197.913,36782,18970,11502,59661
72092,9189,62903,Upper Manya,2010,33883.24,12367382.6,7544103.386,1731433.564,742042.956,618369.13,618369.13,371021.478,371021.478,123673.826,123673.826,32151,6710,16606,33220
108614,29911,78703,Fanteakwa,2010,51048.58,18632731.7,11365966.337,2608582.438,1117963.902,931636.585,931636.585,558981.951,558981.951,186327.317,186327.317,42545,16818,16722,59707
167896,100068,67828,East Akim Municipal,2010,78911.12,28802558.8,17569560.868,4032358.232,1728153.528,1440127.94,1440127.94,864076.764,864076.764,288025.588,288025.588,62878,33453,15164,107654
192562,94062,98500,Kwaebibirem,2010,90504.14,33034011.1,20150746.771,4624761.554,1982040.666,1651700.555,1651700.555,991020.333,991020.333,330340.111,330340.111,72484,34726,20838,114769
97374,33963,63411,Akyem Mansa,2010,45765.78,16704509.7,10189750.917,2338631.358,1002270.582,835225.485,835225.485,501135.291,501135.291,167045.097,167045.097,37874,12933,14105,51716
78907,21166,57741,Birim North,2010,37086.29,13536495.85,8257262.4685,1895109.419,812189.751,676824.7925,676824.7925,406094.8755,406094.8755,135364.9585,135364.9585,32026,11390,8879,45963
110622,36897,73725,Atiwa,2010,51992.34,18977204.1,11576094.501,2656808.574,1138632.246,948860.205,948860.205,569316.123,569316.123,189772.041,189772.041,43242,16144,11586,65236
93584,47968,45616,Kwahu West Municipal,2010,43984.48,16054335.2,9793144.472,2247606.928,963260.112,802716.76,802716.76,481630.056,481630.056,160543.352,160543.352,36386,16735,8710,58149
69757,18874,50883,Kwahu South,2010,32785.79,11966813.35,7299756.1435,1675353.869,718008.801,598340.6675,598340.6675,359004.4005,359004.4005,119668.1335,119668.1335,26032,11106,10026,38976
77125,25353,51772,Kwahu East,2010,36248.75,13230793.75,8070784.1875,1852311.125,793847.625,661539.6875,661539.6875,396923.8125,396923.8125,132307.9375,132307.9375,28735,11660,11908,41925
218235,42699,175536,Kwahu North,2010,102570.45,37438214.25,22837310.6925,5241349.995,2246292.855,1871910.7125,1871910.7125,1123146.4275,1123146.4275,374382.1425,374382.1425,98404,17923,59827,83316
119180,14820,104360,Atwima Mponua,2010,56014.6,20445329,12471650.69,2862346.06,1226719.74,1022266.45,1022266.45,613359.87,613359.87,204453.29,204453.29,48893,13909,23306,56068
134331,5967,128364,Amansie West,2010,63135.57,23044483.05,14057134.6605,3226227.627,1382668.983,1152224.1525,1152224.1525,691334.4915,691334.4915,230444.8305,230444.8305,54083,18562,22234,69003
90741,10725,80016,Amansie Central,2010,42648.27,15566618.55,9495637.3155,2179326.597,933997.113,778330.9275,778330.9275,466998.5565,466998.5565,155666.1855,155666.1855,34429,12138,15876,44966
115378,18966,96412,Adansi South,2010,54227.66,19793095.9,12073788.499,2771033.426,1187585.754,989654.795,989654.795,593792.877,593792.877,197930.959,197930.959,47605,13049,19213,58152
168641,143644,24997,Obuasi Municipal,2010,79261.27,28930363.55,17647521.7655,4050250.897,1735821.813,1446518.1775,1446518.1775,867910.9065,867910.9065,289303.6355,289303.6355,59969,42967,15754,108921
107091,17304,89787,Adansi North,2010,50332.77,18371461.05,11206591.2405,2572004.547,1102287.663,918573.0525,918573.0525,551143.8315,551143.8315,183714.6105,183714.6105,39284,17499,15713,57399
118024,20747,97277,Bekwai Municipal,2010,55471.28,20247017.2,12350680.492,2834582.408,1214821.032,1012350.86,1012350.86,607410.516,607410.516,202470.172,202470.172,42561,19564,16334,65340
60397,NAN,60397,Bosome Freho,2010,28386.59,10361105.35,6320274.2635,1450554.749,621666.321,518055.2675,518055.2675,310833.1605,310833.1605,103611.0535,103611.0535,22615,9114,9996,30805
117245,19870,97375,Asante Akim South,2010,55105.15,20113379.75,12269161.6475,2815873.165,1206802.785,1005668.9875,1005668.9875,603401.3925,603401.3925,201133.7975,201133.7975,45600,15920,16297,63652
140694,80707,59987,Asante Akim North Municipal,2010,66126.18,24136055.7,14722993.977,3379047.798,1448163.342,1206802.785,1206802.785,724081.671,724081.671,241360.557,241360.557,51269,26413,17112,81475
143762,39565,104197,Ejisu Juaben Municipal,2010,67568.14,24662371.1,15044046.371,3452731.954,1479742.266,1233118.555,1233118.555,739871.133,739871.133,246623.711,246623.711,53095,26155,15383,84909
93910,28375,65535,Bosumtwi,2010,44137.7,16110260.5,9827258.905,2255436.47,966615.63,805513.025,805513.025,483307.815,483307.815,161102.605,161102.605,35385,15877,10128,54957
90634,17884,72750,Atwima Kwanwoma,2010,42597.98,15548262.7,9484440.247,2176756.778,932895.762,777413.135,777413.135,466447.881,466447.881,155482.627,155482.627,32866,17267,8998,53380
2035064,2035064,NAN,Kumasi Metropolis,2010,956480.08,349115229.2,212960289.812,48876132.088,20946913.752,17455761.46,17455761.46,10473456.876,10473456.876,3491152.292,3491152.292,801188,479524,187586,1339548
251215,251215,NAN,Kwadaso,2010,118071.05,43095933.25,26288519.2825,6033430.655,2585755.995,2154796.6625,2154796.6625,1292877.9975,1292877.9975,430959.3325,430959.3325,92461,63648,14353,172909
134488,134488,NAN,Nhyiaeso,2010,63209.36,23071416.4,14073564.004,3229998.296,1384284.984,1153570.82,1153570.82,692142.492,692142.492,230714.164,230714.164,55732,30487,10758,91335
174004,174004,NAN,Subin,2010,81781.88,29850386.2,18208735.582,4179054.068,1791023.172,1492519.31,1492519.31,895511.586,895511.586,298503.862,298503.862,72620,40870,16490,118327
140161,140161,NAN,Asokwa,2010,65875.67,24044619.55,14667217.9255,3366246.737,1442677.173,1202230.9775,1202230.9775,721338.5865,721338.5865,240446.1955,240446.1955,56978,30740,9468,95131
303016,303016,NAN,Oforikrom,2010,142417.52,51982394.8,31709260.828,7277535.272,3118943.688,2599119.74,2599119.74,1559471.844,1559471.844,519823.948,519823.948,114153,80709,26269,203492
312258,312258,NAN,Asawase,2010,146761.26,53567859.9,32676394.539,7499500.386,3214071.594,2678392.995,2678392.995,1607035.797,1607035.797,535678.599,535678.599,121430,68961,52473,177350
152225,152225,NAN,Manhyia,2010,71545.75,26114198.75,15929661.2375,3655987.825,1566851.925,1305709.9375,1305709.9375,783425.9625,783425.9625,261141.9875,261141.9875,61541,35794,11223,105416
146024,146024,NAN,Old Tafo,2010,68631.28,25050417.2,15280754.492,3507058.408,1503025.032,1252520.86,1252520.86,751512.516,751512.516,250504.172,250504.172,55541,34211,16058,91737
161199,161199,NAN,Suame,2010,75763.53,27653688.45,16868749.9545,3871516.383,1659221.307,1382684.4225,1382684.4225,829610.6535,829610.6535,276536.8845,276536.8845,64157,35965,10793,107691
260474,260474,NAN,Bantama,2010,122422.78,44684314.7,27257431.967,6255804.058,2681058.882,2234215.735,2234215.735,1340529.441,1340529.441,446843.147,446843.147,106575,58139,19701,176160
149025,46891,102134,Atwima Nwabiagya,2010,70041.75,25565238.75,15594795.6375,3579133.425,1533914.325,1278261.9375,1278261.9375,766957.1625,766957.1625,255652.3875,255652.3875,55345,30388,14688,90860
121659,11701,109958,Ahafo Ano South,2010,57179.73,20870601.45,12731066.8845,2921884.203,1252236.087,1043530.0725,1043530.0725,626118.0435,626118.0435,208706.0145,208706.0145,46781,16979,22383,58949
94285,17758,76527,Ahafo Ano North,2010,44313.95,16174591.75,9866500.9675,2264442.845,970475.505,808729.5875,808729.5875,485237.7525,485237.7525,161745.9175,161745.9175,35565,15628,18536,46342
76895,21721,55174,Offinso Municipal,2010,36140.65,13191337.25,8046715.7225,1846787.215,791480.235,659566.8625,659566.8625,395740.1175,395740.1175,131913.3725,131913.3725,28314,12843,14263,38070
136140,35100,101040,Afigya Kwabre,2010,63985.8,23354817,14246438.37,3269674.38,1401289.02,1167740.85,1167740.85,700644.51,700644.51,233548.17,233548.17,51604,23128,14579,78981
115556,67052,48504,Kwabre East,2010,54311.32,19823631.8,12092415.398,2775308.452,1189417.908,991181.59,991181.59,594708.954,594708.954,198236.318,198236.318,41303,24892,10784,70249
94009,50118,43891,Afigya Sekyere,2010,44184.23,16127243.95,9837618.8095,2257814.153,967634.637,806362.1975,806362.1975,483817.3185,483817.3185,161272.4395,161272.4395,31192,19332,12125,53664
88051,39848,48203,Mampong Municipal,2010,41383.97,15105149.05,9214140.9205,2114720.867,906308.943,755257.4525,755257.4525,453154.4715,453154.4715,151051.4905,151051.4905,30529,17300,13031,48052
62172,33620,28552,Sekyere East,2010,29220.84,10665606.6,6506020.026,1493184.924,639936.396,533280.33,533280.33,319968.198,319968.198,106656.066,106656.066,21797,11588,6789,36296
93937,30872,63065,Sekyere Afram Plains,2010,44150.39,16114892.35,9830084.3335,2256084.929,966893.541,805744.6175,805744.6175,483446.7705,483446.7705,161148.9235,161148.9235,36921,10951,19167,43132
71232,22566,48666,Sekyere Central,2010,33479.04,12219849.6,7454108.256,1710778.944,733190.976,610992.48,610992.48,366595.488,366595.488,122198.496,122198.496,26604,10124,16339,32038
85446,42944,42502,Ejura Sekye Dumasi,2010,40159.62,14658261.3,8941539.393,2052156.582,879495.678,732913.065,732913.065,439747.839,439747.839,146582.613,146582.613,34290,12249,22938,35348
56881,23461,33420,Offinso North,2010,26734.07,9757935.55,5952340.6855,1366110.977,585476.133,487896.7775,487896.7775,292738.0665,292738.0665,97579.3555,97579.3555,21679,7875,14286,22874
95580,24601,70979,Asunafo South,2010,44922.6,16396749,10002016.89,2295544.86,983804.94,819837.45,819837.45,491902.47,491902.47,163967.49,163967.49,39364,11584,18655,44954
124685,47327,77358,Asunafo North Municipal,2010,58601.95,21389711.75,13047724.1675,2994559.645,1283382.705,1069485.5875,1069485.5875,641691.3525,641691.3525,213897.1175,213897.1175,48953,18766,21675,62875
